2017-10-16 14:54:38,539 - INFO - args: (<__main__.Client object at 0x0000000002B09518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49820), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:54:38,611 - INFO - args: (<__main__.Client object at 0x0000000002B09518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49821), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:54:38,670 - INFO - args: (<__main__.Client object at 0x0000000002AE9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49822), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:54:38,674 - INFO - args: (<__main__.Client object at 0x0000000002AE9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49823), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:54:38,707 - INFO - args: (<__main__.Client object at 0x0000000002AE9518>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49824), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,791 - INFO - args: (<__main__.Client object at 0x0000000002AE8518>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49827), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,808 - INFO - args: (<__main__.Client object at 0x0000000002B08518>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49828), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,811 - INFO - args: (<__main__.Client object at 0x0000000002B08518>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49829), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,814 - INFO - args: (<__main__.Client object at 0x0000000002AF84A8>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49830), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,817 - INFO - args: (<__main__.Client object at 0x0000000002AE8518>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49831), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,819 - INFO - args: (<__main__.Client object at 0x0000000002AB8518>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49832), raddr=('127.0.0.1', 7777)> - connect - __main__
2017-10-16 14:56:15,821 - INFO - args: (<__main__.Client object at 0x0000000002AB8518>,) = <socket.socket fd=280, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 49833), raddr=('127.0.0.1', 7777)> - connect - __main__
